SurvYear,UNITID,School,State,UndergradPop,PartM,PartW,OpExpMInd,OpExpMTeam,OpExpWInd,OpExpWTeam,MenRev,WomRev,TotRev,ExpMen,ExpWom
2013,102094,University of South Alabama,AL,8754,14,13,28707,401895,17774,231064,1909407,1261475,3170882,1696927,1241620
2013,218663,University of South Carolina-Columbia,SC,22408,16,25,59425,950804,35065,876620,8040730,927216,8967946,7051872,4465181
2013,137351,University of South Florida-Main Campus,FL,23440,14,16,78597,1100361,58865,941840,5332470,486023,5818493,4440325,2619688
2013,123961,University of Southern California,CA,17578,17,17,59049,1003825,35849,609434,6818145,2820166,9638311,6916841,2863788
2013,176372,University of Southern Mississippi,MS,10829,15,16,30861,462908,19912,318592,2313336,1310828,3624164,2313336,1310828
2013,206084,University of Toledo,OH,12947,13,28,74912,973854,23196,649477,2190051,1888579,4078630,2190051,1888579
2013,207971,University of Tulsa,OK,3272,15,23,70029,1050433,19835,456194,4673616,2224440,6898056,4673616,2224440
2013,230764,University of Utah,UT,17035,15,14,46605,699069,27349,382888,6628333,133947,6762280,4227533,2141826
2013,234076,University of Virginia-Main Campus,VA,14444,17,30,101320,1722444,34232,1026967,8297383,976280,9273663,7609746,3864512
2013,236948,University of Washington-Seattle Campus,WA,27015,15,13,92332,1384984,64548,839120,9429134,837262,10266396,6751828,3064864
2013,240444,University of Wisconsin-Madison,WI,28183,17,15,97289,1653916,49698,745468,19370860,1577454,20948314,7596206,3275770
2013,240727,University of Wyoming,WY,8254,16,13,37127,594026,34483,448279,2852422,1079363,3931785,2917105,1594209
2013,230728,Utah State University,UT,15152,16,21,30405,486477,15376,322899,1807207,1109430,2916637,1807207,1109430
2013,221999,Vanderbilt University,TN,6755,12,12,108505,1302055,69846,838152,8552626,4417447,12970073,7075750,4417447
2013,233921,Virginia Polytechnic Institute and State University,VA,23441,16,13,64958,1039334,64195,834536,8127450,1330540,9457990,6159368,3239983
2013,197197,Wagner College,NY,1764,12,15,31727,380725,8512,127684,1488533,1147566,2636099,1510414,1146269
2013,199847,Wake Forest University,NC,4752,13,18,89985,1169807,30105,541882,7425435,2649198,10074633,7425435,2649198
2013,236939,Washington State University,WA,20254,17,32,43288,735900,19320,618237,5165270,774319,5939589,5651817,2659726
2013,238032,West Virginia University,WV,21027,15,35,179664,2694965,41511,1452871,5548249,1340928,6889177,7769328,3664090
2013,157951,Western Kentucky University,KY,13234,16,21,35249,563982,15394,323269,2691424,1725229,4416653,2691424,1725229
2013,172699,Western Michigan University,MI,15820,16,15,25102,401634,13925,208868,2138521,1472207,3610728,2138520,1472206
